dte_bucket,call,Total
12m_plus,7091.0,7091.0
1m_2m,3890.0,3890.0
1w_2w,1024.0,1024.0
2m_3m,3447.0,3447.0
2w_1m,2065.0,2065.0
3m_6m,8330.0,8330.0
6m_9m,7765.0,7765.0
9m_12m,8457.0,8457.0
